Component,Deadline Date,Type,Name,,Alias,,City,Region,2015 Federal Riding,2025 New Federal Riding,Total Grant
Public Outreach,27-Mar-24,Organization,Centre d'art de Kamouraska,,Centre d'art de Kamouraska,,KAMOURASKA,QC,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup, Montmagny—L'Islet—Kamouraska—Rivière-du-Loup ,"$30,000 "
Public Outreach,27-Mar-24,Organization,BC Movement Arts Society,,BC Movement Arts Society,,SOINTULA,BC,North Island--Powell River, North Island—Powell River ,"$45,000 "
Public Outreach,27-Mar-24,Organization,Inverso Productions,,Inverso Productions,,NORTH VANCOUVER,BC,North Vancouver, North Vancouver ,"$40,000 "
Public Outreach,27-Mar-24,Organization,The Vancouver International Mountain Film Festival Society,,The Vancouver International Mountain Film Festival Society,,NORTH VANCOUVER,BC,North Vancouver, North Vancouver ,"$30,000 "
Public Outreach,27-Mar-24,Organization,The Visual Arts Centre,,The Visual Arts Centre,,WESTMOUNT,QC,Notre-Dame-de-Grâce--Westmount, Notre-Dame-de-Grâce—Westmount ,"$25,000 "
Public Outreach,27-Mar-24,Group,Fiesta Cubana,,Fiesta Cubana,,OTTAWA,ON,Ottawa--Vanier, Ottawa—Vanier ,"$25,000 "
Public Outreach,27-Mar-24,Organization,Mosaïque interculturelle,,Mosaïque interculturelle,,OTTAWA,ON,Ottawa--Vanier, Ottawa—Vanier ,"$80,000 "
Public Outreach,27-Mar-24,Organization,Ottawa Fringe Festival,,Ottawa Fringe Festival,,OTTAWA,ON,Ottawa--Vanier, Ottawa—Vanier ,"$25,000 "
Public Outreach,27-Mar-24,Organization,Diagonale,,Diagonale,,MONTRÉAL,QC,Outremont, Outremont ,"$20,000 "
Public Outreach,27-Mar-24,Organization,Festival BD de Montréal,,Festival BD de Montréal,,MONTRÉAL,QC,Outremont                                                                                           , Laurier—Sainte-Marie ,"$100,000 "
Public Outreach,27-Mar-24,Organization,FIFEQ-MTL,,FIFEQ-MTL,,MONTRÉAL,QC,Outremont, Outremont ,"$30,000 "
Public Outreach,27-Mar-24,Organization,La poésie partout,,La poésie partout,,MONTRÉAL,QC,Outremont, Outremont ,"$20,000 "
Public Outreach,27-Mar-24,Organization,POP Montreal,,POP Montreal,,MONTREAL,QC,Outremont, Outremont ,"$22,000 "
Public Outreach,27-Mar-24,Group,Wesli,,Wesli,,MONTRÉAL,QC,Outremont, Outremont ,"$87,000 "
Public Outreach,27-Mar-24,Organization,Cinéma Public,,Cinéma Public,,MONTRÉAL,QC,Papineau, Papineau ,"$38,000 "
Public Outreach,27-Mar-24,Organization,Robson Valley Music Society,,Robson Valley Music Society,,DUNSTER,BC,Prince George--Peace River--Northern Rockies, Prince George—Peace River—Northern Rockies ,"$25,000 "
Public Outreach,27-Mar-24,Organization,Concerts pour toutes les oreilles,,Concerts pour toutes les oreilles,,QUÉBEC,QC,Québec, Québec ,"$20,000 "
Public Outreach,27-Mar-24,Organization,Le Diamant,,Le Diamant,,QUÉBEC,QC,Québec, Québec ,"$96,500 "
Public Outreach,27-Mar-24,Organization,Le Petit Théâtre du Nord,,Le Petit Théâtre du Nord,,BOISBRIAND,QC,Rivière-des-Mille-Îles, Rivière-des-Mille-Îles ,"$50,000 "
Public Outreach,27-Mar-24,Organization,Espace de la diversité,,Espace de la diversité,,MONTRÉAL,QC,Rosemont--La Petite-Patrie, Rosemont—La Petite-Patrie ,"$30,000 "
Public Outreach,27-Mar-24,Organization,Active / Passive Performance Society,,Active / Passive Performance Society,,GALIANO ISLAND,BC,Saanich--Gulf Islands, Saanich—Gulf Islands ,"$22,000 "
Public Outreach,27-Mar-24,Organization,Yellowhouse Art Centre Society,,Yellowhouse Art Centre Society,,GALIANO ISLAND,BC,Saanich--Gulf Islands, Saanich—Gulf Islands ,"$25,000 "
Public Outreach,27-Mar-24,Organization,IDÉES-AFRIQUE,,IDÉES-AFRIQUE,,MONTRÉAL,QC,Saint-Laurent, Saint-Laurent ,"$40,000 "
Public Outreach,27-Mar-24,Organization,Children's Festival of Saskatchewan,,Children's Festival of Saskatchewan,,SASKATOON,SK,Saskatoon West, Saskatoon West ,"$20,000 "
Public Outreach,27-Mar-24,Organization,Common Weal Community Arts,,Common Weal Community Arts,,SASKATOON,SK,Saskatoon West, Saskatoon West ,"$67,500 "
Public Outreach,27-Mar-24,Organization,Saskatchewan Jazz Festival Inc.,,Saskatchewan Jazz Festival Inc.,,SASKATOON,SK,Saskatoon West, Saskatoon West ,"$30,000 "
Public Outreach,27-Mar-24,Organization,Sporobole,,Sporobole,,SHERBROOKE,QC,Sherbrooke, Sherbrooke ,"$20,000 "
Public Outreach,27-Mar-24,Organization,Outdoor Artist Collective,,Outdoor Artist Collective,,TERRACE,BC,Skeena--Bulkley Valley, Skeena—Bulkley Valley ,"$32,841 "
Public Outreach,27-Mar-24,Organization,HA HA HA KIDZ FEST SOCIETY,,HA HA HA KIDZ FEST SOCIETY,,PENTICTON,BC,South Okanagan--West Kootenay, South Okanagan—West Kootenay ,"$46,000 "
Public Outreach,27-Mar-24,Organization,Lunenburg Folk Harbour Society,,Lunenburg Folk Harbour Society,,LUNENBURG,NS,South Shore--St. Margarets, South Shore—St. Margarets ,"$30,000 "
Public Outreach,27-Mar-24,Organization,Mammalian Diving Reflex,,Mammalian Diving Reflex,,TORONTO,ON,Spadina--Fort York, Spadina—Fort York ,"$50,000 "
Public Outreach,27-Mar-24,Organization,Ontario Culture Days Festival,,Ontario Culture Days Festival,,TORONTO,ON,Spadina--Fort York, Spadina—Fort York ,"$30,000 "
Public Outreach,27-Mar-24,Organization,Centre Franco-Ontarien de Folklore,,Centre Franco-Ontarien de Folklore,,SUDBURY,ON,Sudbury, Sudbury ,"$29,980 "
Public Outreach,27-Mar-24,Organization,Future Arts Network,,Future Arts Network,,SURREY,BC,Surrey Centre, Surrey Centre ,"$30,000 "
Public Outreach,27-Mar-24,Organization,"Cape Breton Centre for Craft and Design, Cape Breton School of Crafts",,"Cape Breton Centre for Craft and Design, Cape Breton School of Crafts",,SYDNEY,NS,Sydney--Victoria, Sydney—Victoria ,"$16,200 "
Public Outreach,27-Mar-24,Organization,Reelworld Screen Institute,,Reelworld Screen Institute,,TORONTO,ON,Toronto Centre, Toronto Centre ,"$40,000 "
Public Outreach,27-Mar-24,Organization,TO Live,,TO Live,,TORONTO,ON,Toronto Centre, Toronto Centre ,"$30,000 "
Public Outreach,27-Mar-24,Organization,Writers Collective of Canada,,Writers Collective of Canada,,TORONTO,ON,Toronto--Danforth, Toronto—Danforth ,"$30,000 "
Public Outreach,27-Mar-24,Organization,TOES FOR DANCE,,TOES FOR DANCE,,TORONTO,ON,Toronto--St. Paul's, Don Valley West ,"$30,000 "
Public Outreach,27-Mar-24,Organization,Biennale nationale de sculpture contemporaine,,Biennale nationale de sculpture contemporaine,,TROIS-RIVIÈRES,QC,Trois-Rivières, Trois-Rivières ,"$30,000 "
Public Outreach,27-Mar-24,Organization,Toronto Outdoor Picture Show,,Toronto Outdoor Picture Show,,TORONTO,ON,University--Rosedale, University—Rosedale ,"$100,000 "
Public Outreach,27-Mar-24,Organization,Museum of Vancouver,,Museum of Vancouver,,VANCOUVER,BC,Vancouver Centre, Vancouver Centre ,"$100,000 "
Public Outreach,27-Mar-24,Organization,African Friendship Society,,African Friendship Society,,VANCOUVER,BC,Vancouver East, Vancouver East ,"$30,000 "
Public Outreach,27-Mar-24,Organization,Future Leisure,,Future Leisure,,VANCOUVER,BC,Vancouver East, Vancouver East ,"$11,500 "
Public Outreach,27-Mar-24,Organization,The Only Animal,,The Only Animal,,VANCOUVER,BC,Vancouver East, Vancouver East ,"$28,658 "
Public Outreach,27-Mar-24,Organization,Upintheair Theatre,,Upintheair Theatre,,VANCOUVER,BC,Vancouver East, Vancouver East ,"$29,000 "
Public Outreach,27-Mar-24,Organization,Vines Art Festival Society,,Vines Art Festival Society,,VANCOUVER,BC,Vancouver East, Vancouver East ,"$77,000 "
Public Outreach,27-Mar-24,Organization,WePress Community Arts Space Society,,WePress Community Arts Space Society,,VANCOUVER,BC,Vancouver East, Vancouver East ,"$93,000 "
Public Outreach,27-Mar-24,Organization,ZEEZEE THEATRE SOCIETY,,ZEEZEE THEATRE SOCIETY,,VANCOUVER,BC,Vancouver East, Vancouver East ,"$30,000 "
Public Outreach,27-Mar-24,Organization,INDIGE-GIRL COMEDY SOCIETY,,INDIGE-GIRL COMEDY SOCIETY,,VANCOUVER,BC,Vancouver Granville, Vancouver Granville ,"$30,000 "
Public Outreach,27-Mar-24,Organization,JCC Jewish Book Festival,,JCC Jewish Book Festival,,VANCOUVER,BC,Vancouver Granville, Vancouver Granville ,"$12,000 "
Public Outreach,27-Mar-24,Organization,Foolish Operations,,Foolish Operations,,VANCOUVER,BC,Vancouver Kingsway, Vancouver Kingsway ,"$30,000 "
Public Outreach,27-Mar-24,Organization,The Chan Centre for the Performing Arts,,The Chan Centre for the Performing Arts,,VANCOUVER,BC,Vancouver Quadra, Vancouver Quadra ,"$37,500 "
Public Outreach,27-Mar-24,Organization,The Society of We Are Canadians Too,,The Society of We Are Canadians Too,,VANCOUVER,BC,Vancouver South, Vancouver South ,"$30,000 "
Public Outreach,27-Mar-24,Organization,Support Network for Indigenous Women & Women of Colour,,Support Network for Indigenous Women & Women of Colour,,VICTORIA,BC,Victoria, Victoria ,"$30,000 "
Public Outreach,27-Mar-24,Organization,Theatre SKAM,,Theatre SKAM,,VICTORIA,BC,Victoria, Victoria ,"$10,000 "
Public Outreach,27-Mar-24,Organization,Tsilumos Ensemble/Salt New Music Festival,,Tsilumos Ensemble/Salt New Music Festival,,VICTORIA,BC,Victoria, Victoria ,"$19,500 "
Public Outreach,27-Mar-24,Organization,"University Centre Farquhar Auditorium, University of Victoria",,"University Centre Farquhar Auditorium, University of Victoria",,VICTORIA,BC,Victoria, Victoria ,"$30,000 "
Public Outreach,27-Mar-24,Organization,Artch - Art contemporain émergent,,Artch - Art contemporain émergent,,MONTRÉAL,QC,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs, Ville-Marie—Le Sud-Ouest—Île-des-Soeurs ,"$30,000 "
Public Outreach,27-Mar-24,Organization,CIOC,,CIOC,,MONTREAL,QC,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs, Ville-Marie—Le Sud-Ouest—Île-des-Soeurs ,"$45,000 "
Public Outreach,27-Mar-24,Organization,FOFA Gallery,,FOFA Gallery,,MONTREAL,QC,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs, Ville-Marie—Le Sud-Ouest—Île-des-Soeurs ,"$30,000 "
